table_name,table_description,column_name&description
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,Dealer Zone (STRING) NULLABLE: Dealer Zone
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,VIN (STRING) NULLABLE: VIN
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,CUST_VERBTM_CD (STRING) NULLABLE: CUST_VERBTM_CD
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,CUSTMR_VERBTM (STRING) NULLABLE: CUSTMR_VERBTM
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,VERB_OBSRVATNS (STRING) NULLABLE: VERB_OBSRVATNS
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,VERB_ACTNTAKN (STRING) NULLABLE: VERB_ACTNTAKN
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,RO_STATS (STRING) NULLABLE: RO_STATS
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,RO Date (DATE) NULLABLE: RO Date
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,RO Closed Date (DATE) NULLABLE: RO Closed Date
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,Bill Date (DATE) NULLABLE: Bill Date
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,RO_ID (STRING) NULLABLE: RO_ID
MH_RO_DATA.MH_RO_CUST_VERBATIM,Contains customer issue verbatim related to repair orders data,MODEL_GROP (STRING) NULLABLE: MODEL_GROP
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,Dealer Zone (STRING) NULLABLE: Dealer Zone
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,Dealer Area Office (STRING) NULLABLE: Dealer Area Office
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,Dealer Parent Name (STRING) NULLABLE: Dealer Parent Name
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,Dealer Parent Group Code (STRING) NULLABLE: Dealer Parent Group Code
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,Dealer Location Code (STRING) NULLABLE: Dealer Location Code
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,Dealer Location (STRING) NULLABLE: Dealer Location
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,Bill Date (DATE) NULLABLE: Bill Date
MH_RO_DATA.MH_RO_LABOUR_DETAILS,Contains OEM and Local Labor consumed in repair orders data,FAMLY_DESC (STRING) NULLABLE: FAMLY_DESC
